outdectrhtime   outdectrh
344.7796   -0.4250
344.7804   0.8325
344.7804   0.4425
344.7804   0.2150
344.7912   0.2185
344.7912   0.3585
344.7958   0.3385
344.7958   0.0785
344.7958   0.1285
344.7958   0.0885
344.7958   0.1585
344.7958   0.2224
344.7958   -0.0276
344.7958   -0.0576
344.7958   -0.0476
344.8033   -1.0815
344.8033   -1.2276
344.8033   -1.2276
344.8033   -1.1376
344.8092   -1.0476
344.8092   -0.8876
344.8196   -0.4715
344.8196   -0.5215
344.8196   -0.6176
344.8196   -0.6176
344.8196   -0.6476
344.8242   -1.2676
344.8242   -1.2576
344.8242   -1.2176
344.8250   -1.2815
344.8250   -1.2715
344.8250   -1.3976
344.8250   -1.4176
344.8279   -0.8375
344.8279   -0.8375
344.8279   -0.9275
344.8279   -1.0850
344.8279   -1.0850
344.8279   -1.1550
344.8346   -0.5315
344.8346   -0.6915
344.8346   -0.5715
344.8346   -0.6515
344.8346   -0.7415
344.8346   -0.7576
344.8346   -0.7176
344.8346   -0.8176
344.8346   -0.7876
344.8596   -1.3815
344.8596   -1.3115
344.8596   -1.2915
344.8596   -1.2615
344.8596   -1.3615
344.8596   -1.4976
344.8596   -1.4476
344.8596   -1.4476
344.8596   -1.5476
344.8700   -1.0176
344.8754   -1.3875
344.8754   -0.8875
344.8754   -0.9675
344.8754   -0.9475
344.8754   -1.4850
344.8754   -1.1950
344.8754   -1.1050
344.8813   -1.8315
344.8813   -1.8315
344.9008   -0.7176
344.9058   -0.8415
344.9058   -0.8415
344.9058   -0.9215
344.9058   -0.9876
344.9058   -1.1376
344.9058   -1.0576
344.9096   -0.8015
344.9096   -0.8515
344.9096   -0.8815
344.9096   -0.7415
344.9096   -0.6776
344.9096   -0.8776
344.9096   -0.8276
344.9167   -0.6075
344.9167   -0.6875
344.9167   -1.1050
344.9296   -1.9975
344.9296   -1.9975
344.9358   -1.3115
344.9358   -1.3115
344.9358   -1.4576
344.9417   -0.0376
344.9417   -0.1976
344.9417   -0.0476
344.9433   -1.1915
344.9433   -1.1915
344.9433   -1.3276
344.9433   -1.3276
344.9500   -0.1515
344.9500   -0.2315
344.9500   -0.1315
344.9500   -0.0715
344.9500   -0.0776
344.9500   -0.2476
344.9500   -0.2776
344.9500   -0.2676
344.9529   -0.1375
344.9529   0.0525
344.9529   -0.2750
344.9529   -0.2750
344.9529   -0.1750
344.9604   -0.0515
344.9604   0.0685
344.9604   -0.0576
344.9604   -0.1976
344.9604   -0.0676
344.9937   0.2625
344.9937   0.5025
345.0083   0.9125
345.0083   1.0625
345.0083   0.6950
345.0129   -0.2315
345.0129   -0.1815
345.0129   -0.3176
345.0129   -0.3676
345.0138   -1.2475
345.0138   0.1525
345.0138   0.9785
345.0138   0.1725
345.0138   0.1225
345.0138   -0.0575
345.0138   0.9685
345.0138   -0.0850
